Indicator Name,Indicator Code
"Services, value added (constant 2010 US$)",NV.SRV.TOTL.KD
"Services, value added (annual % growth)",NV.SRV.TOTL.KD.ZG
"Services, value added (constant LCU)",NV.SRV.TOTL.KN
"Services, value added (% of GDP)",NV.SRV.TOTL.ZS
Adjusted savings: education expenditure (current US$),NY.ADJ.AEDU.CD
Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS
Adjusted savings: carbon dioxide damage (current US$),NY.ADJ.DCO2.CD
Adjusted savings: carbon dioxide damage (% of GNI),NY.ADJ.DCO2.GN.ZS
Adjusted savings: net forest depletion (current US$),NY.ADJ.DFOR.CD
Adjusted savings: net forest depletion (% of GNI),NY.ADJ.DFOR.GN.ZS
Adjusted savings: consumption of fixed capital (current US$),NY.ADJ.DKAP.CD
Adjusted savings: consumption of fixed capital (% of GNI),NY.ADJ.DKAP.GN.ZS
Adjusted savings: mineral depletion (current US$),NY.ADJ.DMIN.CD
Adjusted savings: mineral depletion (% of GNI),NY.ADJ.DMIN.GN.ZS
Adjusted savings: energy depletion (current US$),NY.ADJ.DNGY.CD
Adjusted savings: energy depletion (% of GNI),NY.ADJ.DNGY.GN.ZS
Adjusted savings: particulate emission damage (current US$),NY.ADJ.DPEM.CD
Adjusted savings: particulate emission damage (% of GNI),NY.ADJ.DPEM.GN.ZS
Adjusted savings: natural resources depletion (% of GNI),NY.ADJ.DRES.GN.ZS
Adjusted savings: gross savings (% of GNI),NY.ADJ.ICTR.GN.ZS
Adjusted savings: net national savings (current US$),NY.ADJ.NNAT.CD
Adjusted savings: net national savings (% of GNI),NY.ADJ.NNAT.GN.ZS
Adjusted net national income (current US$),NY.ADJ.NNTY.CD
Adjusted net national income (constant 2010 US$),NY.ADJ.NNTY.KD
Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD
Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG
"Adjusted net savings, including particulate emission damage (current US$)",NY.ADJ.SVNG.CD
"Adjusted net savings, including particulate emission damage (% of GNI)",NY.ADJ.SVNG.GN.ZS
"Adjusted net savings, excluding particulate emission damage (current US$)",NY.ADJ.SVNX.CD
"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS
Exports as a capacity to import (constant LCU),NY.EXP.CAPM.KN
Coal rents (% of GDP),NY.GDP.COAL.RT.ZS
"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG
"Inflation, GDP deflator: linked series (annual %)",NY.GDP.DEFL.KD.ZG.AD
GDP deflator (base year varies by country),NY.GDP.DEFL.ZS
GDP deflator: linked series (base year varies by country),NY.GDP.DEFL.ZS.AD
Discrepancy in expenditure estimate of GDP (current LCU),NY.GDP.DISC.CN
Discrepancy in expenditure estimate of GDP (constant LCU),NY.GDP.DISC.KN
Gross value added at basic prices (GVA) (current US$),NY.GDP.FCST.CD
Gross value added at basic prices (GVA) (current LCU),NY.GDP.FCST.CN
Gross value added at basic prices (GVA) (constant 2010 US$),NY.GDP.FCST.KD
Gross value added at basic prices (GVA) (constant LCU),NY.GDP.FCST.KN
Forest rents (% of GDP),NY.GDP.FRST.RT.ZS
Mineral rents (% of GDP),NY.GDP.MINR.RT.ZS
GDP (current US$),NY.GDP.MKTP.CD
GDP (current LCU),NY.GDP.MKTP.CN
GDP: linked series (current LCU),NY.GDP.MKTP.CN.AD
GDP (constant 2010 US$),NY.GDP.MKTP.KD
GDP growth (annual %),NY.GDP.MKTP.KD.ZG
GDP (constant LCU),NY.GDP.MKTP.KN
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD
"GDP, PPP (constant 2011 international $)",NY.GDP.MKTP.PP.KD
Natural gas rents (% of GDP),NY.GDP.NGAS.RT.ZS
GDP per capita (current US$),NY.GDP.PCAP.CD
GDP per capita (current LCU),NY.GDP.PCAP.CN
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG
GDP per capita (constant LCU),NY.GDP.PCAP.KN
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD
Oil rents (% of GDP),NY.GDP.PETR.RT.ZS
Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS
Gross domestic savings (current US$),NY.GDS.TOTL.CD
Gross domestic savings (current LCU),NY.GDS.TOTL.CN
Gross domestic savings (% of GDP),NY.GDS.TOTL.ZS
Gross domestic income (constant LCU),NY.GDY.TOTL.KN
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD
GNI (current US$),NY.GNP.MKTP.CD
GNI (current LCU),NY.GNP.MKTP.CN
GNI (constant 2010 US$),NY.GNP.MKTP.KD
GNI growth (annual %),NY.GNP.MKTP.KD.ZG
GNI (constant LCU),NY.GNP.MKTP.KN
"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD
"GNI, PPP (constant 2011 international $)",NY.GNP.MKTP.PP.KD
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD
GNI per capita (current LCU),NY.GNP.PCAP.CN
GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD
GNI per capita growth (annual %),NY.GNP.PCAP.KD.ZG
GNI per capita (constant LCU),NY.GNP.PCAP.KN
"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD
"GNI per capita, PPP (constant 2011 international $)",NY.GNP.PCAP.PP.KD
Gross savings (current US$),NY.GNS.ICTR.CD
Gross savings (current LCU),NY.GNS.ICTR.CN
Gross savings (% of GNI),NY.GNS.ICTR.GN.ZS
Gross savings (% of GDP),NY.GNS.ICTR.ZS
Net primary income (Net income from abroad) (current US$),NY.GSR.NFCY.CD
Net primary income (Net income from abroad) (current LCU),NY.GSR.NFCY.CN
Net primary income (Net income from abroad) (constant LCU),NY.GSR.NFCY.KN
Taxes less subsidies on products (current US$),NY.TAX.NIND.CD
Taxes less subsidies on products (current LCU),NY.TAX.NIND.CN
Taxes less subsidies on products (constant LCU),NY.TAX.NIND.KN
Net secondary income (Net current transfers from abroad) (current US$),NY.TRF.NCTR.CD
Net secondary income (Net current transfers from abroad) (current LCU),NY.TRF.NCTR.CN
Net secondary income (Net current transfers from abroad) (constant LCU),NY.TRF.NCTR.KN
Terms of trade adjustment (constant LCU),NY.TTF.GNFS.KN
